ONo,Name,Desc,Url,Nb Tech,Nb Topics,Org link,Guidance link
95,SeaQL,Building data intensive applications in Rust,https://summerofcode.withgoogle.com/programs/2022/organizations/seaql,1,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
96,Jitsi,State-of-the-art video conferencing,https://summerofcode.withgoogle.com/programs/2022/organizations/jitsi,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
97,Wagtail,The powerful Python CMS for modern websites,https://summerofcode.withgoogle.com/programs/2022/organizations/wagtail,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
98,Organic Maps,"Offline maps app for tourists, cyclers & hikers",https://summerofcode.withgoogle.com/programs/2022/organizations/organic-maps,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
99,Godot Engine,Multi-platform 2D and 3D game engine,https://summerofcode.withgoogle.com/programs/2022/organizations/godot-engine,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
100,Fortran-lang,High-performance parallel programming language,https://summerofcode.withgoogle.com/programs/2022/organizations/fortran-lang,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
101,Center for Translational Data Science,Develop translational data science.,https://summerofcode.withgoogle.com/programs/2022/organizations/center-for-translational-data-science,1,0
102,RADAR-base,Improve people's quality of life using patient generated data,https://summerofcode.withgoogle.com/programs/2022/organizations/radar-base,1,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
103,VideoLAN,Open source believers rocking the multimedia world,https://summerofcode.withgoogle.com/programs/2022/organizations/videolan,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
105,INCF,An open & FAIR neuroscience standards organization,https://summerofcode.withgoogle.com/programs/2022/organizations/incf,4,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
107,CHAOSS,Community Health Analytics Open Source Software,https://summerofcode.withgoogle.com/programs/2022/organizations/chaoss,4,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
108,AboutCode,"Scan code for origin, license and vulnerabilities",https://summerofcode.withgoogle.com/programs/2022/organizations/aboutcode,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
109,JdeRobot,Toolkit for developing Robotics applications,https://summerofcode.withgoogle.com/programs/2022/organizations/jderobot,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
111,Casbin,Authorization library that supports RBAC and ABAC,https://summerofcode.withgoogle.com/programs/2022/organizations/casbin,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
112,FOSSology,Open Source License Compliance by OSS,https://summerofcode.withgoogle.com/programs/2022/organizations/fossology,5,0
113,International Catrobat Association,Free visual coding apps for computational thinking,https://summerofcode.withgoogle.com/programs/2022/organizations/international-catrobat-association,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
114,GitLab,Everyone can contribute,https://summerofcode.withgoogle.com/programs/2022/organizations/gitlab,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
115,Apache Software Foundation,Open source software to the public free of charge,https://summerofcode.withgoogle.com/programs/2022/organizations/apache-software-foundation,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
116,syslog-ng,"Enhanced log daemon, w/ wide range of I/O methods",https://summerofcode.withgoogle.com/programs/2022/organizations/syslog-ng,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
117,sktime,A unified framework for ML with time series,https://summerofcode.withgoogle.com/programs/2022/organizations/sktime,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
118,MuseScore,The World’s Most Popular Music Notation Software,https://summerofcode.withgoogle.com/programs/2022/organizations/musescore,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
119,SymPy,SymPy is a Python library for symbolic mathematics,https://summerofcode.withgoogle.com/programs/2022/organizations/sympy,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
120,Matrix.org,"Open, secure, decentralised communication",https://summerofcode.withgoogle.com/programs/2022/organizations/matrixorg,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
121,Eclipse Foundation,The Global Open Source Foundation,https://summerofcode.withgoogle.com/programs/2022/organizations/eclipse-foundation,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
122,Xfce,Lightweight and flexible linux desktop environment,https://summerofcode.withgoogle.com/programs/2022/organizations/xfce,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
123,Polypheny,The distributed and self-adaptive polystore,https://summerofcode.withgoogle.com/programs/2022/organizations/polypheny,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
124,The Julia Language,A fresh approach to technical computing,https://summerofcode.withgoogle.com/programs/2022/organizations/the-julia-language,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
125,Internet Health Report,Monitoring the Internet,https://summerofcode.withgoogle.com/programs/2022/organizations/internet-health-report,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
126,strace,Linux syscall tracer,https://summerofcode.withgoogle.com/programs/2022/organizations/strace,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
127,SageMath,Open-source mathematics software system,https://summerofcode.withgoogle.com/programs/2022/organizations/sagemath,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
128,Public Lab,Tools for communities to measure pollution,https://summerofcode.withgoogle.com/programs/2022/organizations/public-lab,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
129,OSGeo (Open Source Geospatial Foundation),The Open Source Geospatial Foundation,https://summerofcode.withgoogle.com/programs/2022/organizations/osgeo-open-source-geospatial-foundation,4,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
130,XWiki,The Advanced Open Source Enterprise Wiki,https://summerofcode.withgoogle.com/programs/2022/organizations/xwiki,4,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
131,The Palisadoes Foundation,Transforming non-profit organizations in the cloud,https://summerofcode.withgoogle.com/programs/2022/organizations/the-palisadoes-foundation,1,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
132,Joplin,The secure note taking application,https://summerofcode.withgoogle.com/programs/2022/organizations/joplin,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
